,sentence
63, a sour little movie at its core  an exploration of the emptiness that underlay the relentless gaiety of the 1920 s  the film s ending has a  what was it all for   
64,though ford and neeson capably hold our interest  but its just not a thrilling movie 
65,is pretty damned funny  
66,we never feel anything for these characters 
67,s a lousy one at that 
68,the corporate circus that is the recording industry in the current climate of mergers and downsizing 
69,the storylines are woven together skilfully  the magnificent swooping aerial shots are breathtaking  and the overall experience is awesome  
70,of the most highlypraised disappointments i 
71,sounds like a cruel deception carried out by men of marginal intelligence  with reactionary ideas about women and a total lack of empathy  
72,seem fresh 
73,to the dustbin of history 
74,as a director  eastwood is off his game 
75,pays earnest homage to turntablists 
76,weak and 
77,skip this dreck  
78,contains very few laughs and even less surprises 
79,film to affirm love s power to help people endure almost unimaginable horror 
80,are an absolute joy 
81,generates 
82, like life  is nt much fun without the highs and lows 
83,based on a true and historically significant story 
84,wellrounded tribute 
85, though many of the actors throw off a spark or two when they first appear  they ca nt generate enough heat in this cold vacuum of a comedy to start a reaction  
86,so much like a young robert deniro 
87,khouri manages  with terrific flair  to keep the extremes of screwball farce and bloodcurdling family intensity on one continuum  
88,fashioning an engrossing entertainment out 
89,spiffy animated feature 
90,that s so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 
91,alternating between facetious comic parody and pulp melodrama  this smartaleck movie  tosses around some intriguing questions about the difference between human and android life 
92,strungtogether moments 
93, generous and subversive artworks 
94,it does nt follow the stale  standard  connectthedots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world 
95,funny yet 
96,overbearing and overthetop 
97,it s robert duvall  
98,rich and sudden wisdom 
99,acted and directed  it s clear that washington most certainly has a new career ahead of him 
100,in memory 
101,respectable new one 
102,yet this grating showcase 
103,hate to tear your eyes away from the images long enough to read the subtitles 
104,addition to sporting one of the worst titles in recent cinematic history 
105, this genderbending comedy is generally quite funny  
106,build some robots  haul em to the theater with you for the late show  and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst  and only  killer website movie of this or any other year 
107,do nt work in concert 
108,the direction has a fluid  nononsense authority  and the performances by harris  phifer and cam  ron seal the deal  
109,would have liked it more if it had just gone that one step further 
110,it s too harsh to work as a piece of storytelling  
111,hawaiian shirt 
112,takes a classic story  casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch  
113,provide its keenest pleasures 
114,altogether too slight to be called any kind of masterpiece 
115,grievous but 
116,after you laugh once  maybe twice   you will have completely forgotten the movie by the time you get back to your car in the parking lot  
117,hopeless 
118,unpretentious  charming  quirky  original 
119,nicks and steinberg match their own creations for pure venality  that s giving it the old college try  
120,very wellwritten and very wellacted  
121,are nt many conclusive answers in the film 
122,clumsy dialogue  heavyhanded phoneyfeeling sentiment  
123,proves a lovely trifle that  unfortunately  is a little too in love with its own cuteness  
124,bring tissues  
125,the film s midtolow budget is betrayed by the surprisingly shoddy makeup work  
126,brings the proper conviction to his role as  jason bourne   
127,as a young woman of great charm  generosity and diplomacy 
128,there s something poignant about an artist of 90plus years taking the effort to share his impressions of life and loss and time and art with us  
129,just too silly 
130,cinematic bon bons 
131,it is supremely unfunny and unentertaining to watch middleage and 
132,a lively and engaging examination of how similar obsessions can dominate a family  
133,irritates and 
134,collapse 
135,so many of the challenges it poses for itself that one can forgive the film its flaws 
136, it serves as a workable primer for the region s recent history  and would make a terrific 10thgrade learning tool  
137,wideawake all the way through 
138, vainly  i think  
139,is one big excuse to play one lewd scene after another  
140,is effective if you stick with it 
141,that underscore the importance of family tradition and familial community 
142,delivers what it promises  a look at the  wild ride  that ensues when brash young men set out to conquer the online world with laptops  cell phones and sketchy business plans 
143,watching this digitaleffectsheavy  supposed familyfriendly comedy 
144,absolutely and completely ridiculous and 
145,s a very tasteful rock and roll movie  
146,the movie is almost completely lacking in suspense  surprise and consistent emotional conviction  
147,realistic portrayal 
148,as if trying to grab a lump of playdoh  the harder that liman tries to squeeze his story 
149,wellthought stunts or 
150,reveals how important our special talents can be when put in service of of others  
151,no lika da 
152,a welcome relief 
153,the promise of digital filmmaking 
154,just one that could easily wait for your pay per view dollar 
155,justify a theatrical simulation of the death camp of auschwitz iibirkenau 
156,extraordinary faith 
157,have i seen a film so willing to champion the fallibility of the human heart 
158, sometimes beautiful adaptation 
159,about as interesting 
160,caruso sometimes descends into subtarantino cuteness  but for the most part he makes sure the salton sea works the way a good noir should  keeping it tight and nasty  
161,overlong  and bombastic 
162,derivative and hammily 
163,most audacious  outrageous  
164,at its best moments 
165,disney again ransacks its archives for a quickbuck sequel  
166,that final  beautiful scene 
167,some movies suck you in despite their flaws  
168,eats  meddles  argues  laughs  kibbitzes and fights 
169,the problem with the film is whether these ambitions  laudable in themselves  justify a theatrical simulation of the death camp of auschwitz iibirkenau  
170, compelling 
171,infectiously 
172,the picture runs a mere 84 minutes  but it s no glance  
173,think of this dog of a movie 
174,s remarkable procession of sweeping pictures that have reinvigorated the romance genre  
175,those soso films that could have been much better 
176,a passable date film 
177,imax in short 
178,i hate it  
179,s pleasant enough  and oozing with attractive men 
180,no one involved  save dash  shows the slightest aptitude for acting 
181,in this wildly uneven movie 
182,pokes  provokes  takes expressionistic license 
183,like one of  spears   music videos in content  except that it goes on for at least 90 more minutes and  worse  that you have to pay if you want to see it 
184,with color and depth  and rather a good time 
185,silly  outrageous  ingenious 
186,being able to hit on a 15year old when you re over 100 
187,the story of trouble every day  is so sketchy it amounts to little more than preliminary notes for a sciencefiction horror film  and the movie s fragmentary narrative style makes piecing the story together frustrating difficult  
188,the year s best and most unpredictable comedy 
189,starts off so bad that you feel like running out screaming 
190,men in black ii achieves ultimate insignificance  it s the scifi comedy spectacle as whiffleball epic  
191,elvira fans could hardly ask for more  
192,a good one 
193, plodding picture 
194,the character dramas  which never reach satisfying conclusions 
195,lost in the translation this time 
196,speak for it while it forces you to ponder anew what a movie can be 
197,enables shafer to navigate spaces both large  and small  with considerable aplomb 
198,a plot cobbled together from largely flat and uncreative moments 
199,inane and awful 
200,told in scattered fashion 
201,takes chances that are bold by studio standards 
202,believe it or not  jason actually takes a backseat in his own film to special effects 
203,only thing to fear about  fear dot com  
204,whole mess 
205,manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor 
206,working from a surprisingly sensitive script cowritten by gianni romoli  ozpetek avoids most of the pitfalls you d expect in such a potentially sudsy setup  
207,a résumé loaded with credits like  girl in bar  3 
208,enjoy the ride 
209,very little to add beyond the dark visions already relayed by superb recent predecessors 
210,the  yes  snaillike pacing 
211,an extremely unpleasant film  
212,if it is nt entirely persuasive  it does give exposure to some talented performers 
213,the whole affair  true story or not  feels incredibly hokey  
214,are all things we ve seen before 
215,poignant and leavened 
216,breathless anticipation 
217,significantly better 
218,as predictable as the tides 
219,bewilderingly brilliant and entertaining 
220,it s smooth and professional 
221, unassuming  subordinate 
222,the horror 
223,a technically superb film 
224,the positive change in tone here seems to have recharged him  
225,pays earnest homage to turntablists and beat jugglers  old schoolers and current innovators 
226,a dim 
227, vicious and absurd 
228,because he acts so goofy all the time 
229,to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside 
230,s at once laughable and compulsively watchable  
231,merit its 103minute length 
232,the value and respect for the term epic cinema 
233,as a dentist s waiting room 
234,showing honest emotions 
235,amazingly lame  
236,confessions may not be a straightforward bio 
237,seems a disappointingly thin slice of lowerclass london life  despite the title  amounts to surprisingly little 
238,the story is bogus and 
239,this comic gem is as delightful as it is derivative  
240,to spare wildlife 
241,ugly as the shabby digital photography 
242,understand the difference between dumb fun and just plain dumb 
243,traditionally structured 
244,frida is nt that much different from many a hollywood romance  
245,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets  
246,are worth the price of admission  if  gory mayhem  is your idea of a good time 
247,was produced by jerry bruckheimer and directed by joel schumacher  and reflects the worst of their shallow styles  wildly overproduced  inadequately motivated every step of the way and demographically targeted to please every one  and no one  
248,carnage and 
249,degraded  handheld blair witch videocam footage 
250,second fiddle 
251,about the folly of superficiality that is itself 
252,serves as autocritique  and its clumsiness as its own most damning censure  
253,tedious norwegian offering which somehow snagged an oscar nomination  
254, esther kahn is unusual but unfortunately also irritating  
255,a stylish exercise 
256,halfway through this picture i was beginning to hate it 
257,a setup so easy it borders on facile 
258,a thoroughly awful movie 
259,takes hold and grips hard 
260,look smeary and blurry  to the point of distraction 
261,the picture s fascinating byways 
262,guns  cheatfully filmed martial arts  disintegrating bloodsucker computer effects and jagged camera moves 
263,breezy  distracted rhythms 
264,than this mess 
265,evanescent  seamless and sumptuous stream 
266,slick and manufactured to claim street credibility  
267,take care is nicely performed by a quintet of actresses  
268,valuable messages 
269,in no small part thanks to lau 
270,two guys who desperately want to be quentin tarantino when they grow up 
271,no new plot conceptions 
272,essentially a collection of bits  
273,does nt bode well for the rest of it 
274,elevated by it  the kind of movie 
275,usual worst 
276,hugh grant  who has a good line in charm 
277,arrive early and stay late 
278,is a panamerican movie  with moments of genuine insight into the urban heart  
279,i could have used my two hours better watching being john malkovich again  
280,shot in artful  watery tones of blue  green and brown 
281,an unorthodox little film noir organized crime story that includes one of the strangest 
282,considerable aplomb 
283,acted by diane lane and richard gere  
284,scant 
285,an admittedly middling film 
286,too ludicrous 
287,the rock s fighting skills are more in line with steven seagal 
288,rich and full 
289,warm water under a red bridge is a celebration of feminine energy  a tribute to the power of women to heal  
290,that uses a sensational  reallife 19thcentury crime as a metaphor for 
291, home movie will leave you wanting more  not to mention leaving you with some laughs and a smile on your face  
292, the film retains ambiguities that make it well worth watching  
293,ultracheesy dialogue 
294,added depth and resonance 
295,the sensational 
296,hugescreen format to make an oldfashioned nature film that educates viewers with words and pictures while entertaining them 
297,handsome but unfulfilling suspense drama 
298,s not very good either  
299,in her most charmless 
300,makes an unusual but pleasantly haunting debut behind the camera  
301,a fine  rousing  grated family film  aimed mainly at little kids but with plenty of entertainment value to keep grownups from squirming in their seats  
302,everything about girls ca nt swim  even its passages of sensitive observation  feels secondhand  familiar  and not in a good way  
303,the cast is spot on and 
304,ugly digital video 
305,can only love the players it brings to the fore for the gifted but nononsense human beings they are and for the stillinestimable contribution they have made to our shared history 
306,rather choppy 
307,becomes one more dumb high school comedy about sex gags and prom dates 
308,demands and receives excellent performances 
309,xxx is a blast of adrenalin  
310,pure escapism 
311,create a film that s not merely about kicking undead  
312,about love and culture 
313,is worse  
314,horrifying 
315,mourns her tragedies in private 
316,the action scenes are poorly delivered 
317,it s so bad 
318,so bad 
319, 84 minutes is short 
320,dabbles all around  never gaining much momentum 
321,a masterpiece 
322,a lot to do with the casting of juliette binoche as sand  who brings to the role her pale  dark beauty and characteristic warmth 
323,does nt leave you with much  
324,good acting 
325,like most of jaglom s films  some of it is honestly affecting 
326,marivaux s rhythms  and mira sorvino s limitations as a classical actress 
327,is less successful on other levels 
328,s still quite worth seeing 
329,intelligent and moving  
330,he appears miserable throughout as he swaggers through his scenes 
331,men 
332,accomplish what few sequels can 
333,a clunky tvmovie approach to detailing a chapter in the life of the celebrated irish playwright  poet and drinker 
334,i m not sure which half of dragonfly is worse  the part where nothing s happening  or the part where something s happening 
335,exhilarating  funny and fun  
336,bound to appeal to women looking for a howlingly trashy time 
337, it never quite makes the grade as tawdry trash  
338,has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end  
339,endearing  caring 
340,seagal  who looks more like danny aiello these days 
341,enactments  however fascinating they may be as history  are too crude to serve the work especially well  
342,not everything in this ambitious comic escapade works  but coppola  along with his sister  sofia  is a real filmmaker 
343,the dehumanizing and egodestroying process 
344,taboo subject matter 
345,see this 
346,utterly incompetent conclusion 
347,has always been part of for the most part wilde s droll whimsy helps  being earnest  overcome its weaknesses and parker s creative interference  
348,you find yourself rooting for gai s character to avoid the fate that has befallen every other carmen before her 
349,run for cover 
350,low budget 
351,a deceptively casual ode 
352,walked out muttering words like  horrible  and  terrible   
353,help chicago make the transition from stage to screen with considerable appeal intact 
354,you have ellen pompeo sitting next to you for the ride 
355,a giant step backward 
356,true fans 
357,just copies 
358,quite rich and exciting 
359,luminous interviews and amazingly evocative film from three decades ago 
360,from lynch  jeunet  and von trier while failing to find a spark of its own 
361, you ca nt help but get caught up in the thrill of the company s astonishing growth  
362,this frozen tundra soap opera 
363,a showdown 
364,is simply too overdone 
365,greatly 
366,free 
367,intriguing species 
368,try and evade 
369,scherfig  who has had a successful career in tv 
370,watching it leaves you giddy 
371,beautifully acted and directed  it s clear that washington most certainly has a new career ahead of him if he so chooses  
372,far tamer 
373,outrageously creative action 
374,the most purely enjoyable and satisfying evenings 
375,is never any question of how things will turn out 
376,only open new wounds 
377,despite suffering a senseofhumour failure 
378,for a story 
379,in addition to hoffman s powerful acting clinic 
380,right stuff 
381,the wonderful cinematography and naturalistic acting 
382,highconcept films 
383,sleepwalk through vulgarities in a sequel you can refuse 
384,with no reason for being 
385,just about all of the film is confusing on one level or another  making ararat far more demanding than it needs to be  
386,invigorating  surreal  and resonant 
387,the chateau  a sense of lightheartedness  that makes it attractive throughout 
388,have a passion for the material 
389,maybe it is formula filmmaking  but there s nothing wrong with that if the film is wellcrafted and this one is  
390,a movie that ca nt get sufficient distance from leroy s 
391,romanticized rendering 
392,is terrific as rachel 
393,of special effects that run the gamut from cheesy to cheesier to cheesiest 
394,the worst film a man has made about women since valley of the dolls 
395,come  already having been recycled more times than i d care to count 
396,with awe 
397,joyous romp of a film  
398,a nonstop hoot 
399, partisans and sabotage 
400,gory as the scenes of torture and selfmutilation 
401,just as the recent argentine film son of the bride reminded us that a feelgood movie can still show real heart 
402,ub equally spoofs and celebrates the more outre aspects of  black culture  and the dorkier aspects of  white culture   even as it points out how inseparable the two are  
403,the package in which this fascinating  and timely  content comes wrapped is disappointingly generic  
404,this obscenely bad dark comedy  so crass 
405,naomi watts is terrific as rachel  her petite frame and vulnerable persona emphasising her plight and isolation 
406,exciting and 
407,schticky 
408,and in the best way 
409,of our most flamboyant female comics 
410,squareness that would make it the darling of many a kidsandfamilyoriented cable channel 
411, less a movie than  an appalling  odoriferous thing  so 
412,this film special 
413,of the amazing spiderman 
414,the stomachturning violence 
415,could use a little more humanity 
416,not everything 
417,acquires an undeniable entertainment value as the slight  pale mr broomfield continues to force himself on people and into situations that would make lesser men run for cover  
418,a slowmoving policeprocedural thriller 
419,a bad idea from frame one 
420,terrific  sweatypalmed fun 
421,very funny joke 
422,volletta wallace s maternal fury 
423,complex story 
424,atop wooden dialogue 
425,that it progresses in such a lowkey manner that it risks monotony 
426,be burns s strongest film since the brothers mcmullen 
427,ca nt miss it 
428,dover kosashvili s outstanding feature debut so potent 
429,of the best short story writing 
430,it seeks excitement in manufactured high drama 
431,feeble comedy  
432,an insult to every family 
433,it is essentially empty 
434,of the film s problems 
435,makes my big fat greek wedding look like an apartheid drama 
436,is not even half the interest  
437,never achieve the popularity of my big fat greek wedding 
438, auto focus  works as an unusual biopic and document of male swingers in the playboy era 
439,right now  they re merely signposts marking the slow  lingering death of imagination  
440,appealing character quirks to forgive that still serious problem 
441,often lingers just as long on the irrelevant as on the engaging  which gradually turns what time is it there  
442,the energy it takes to describe how bad it is 
443,wait to see it then  
444,could easily be called the best korean film of 2002 
445,largestever historical canvas 
446,a solid cast  assured direction and complete lack of modern day irony  
447,comatose ballerinas 
448,ohsoimportant 
449,of the road  where the thematic ironies are too obvious and the sexual politics too smug 
450,formulaic equations 
451,s a work that  with humor  warmth  and intelligence  captures a life interestingly lived 
452,deserve a passing grade 
453,you re gon na like this movie  
454,simply stupid  irrelevant 
455,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise  
456,a heavyhanded indictment of parental failings and 
457,felt performances across the board  
458,seem weird and distanced 
459,has finally made a movie that is nt just offensive 
460,casual and fun 
461,plodding mess 
462,the weird thing about the santa clause 2  purportedly a children s movie  is that there is nothing in it to engage children emotionally  
463,the film s intimate camera work 
464,you ll find yourself wishing that you and they were in another movie  
465,of dishonesty 
466,as bestial 
467,as it is a loose collection of notsofunny gags  scattered moments of lazy humor 
468, they prove more distressing than suspenseful  
469,crackles 
470,a fairly revealing study of its two main characters 
471,high drama  disneystyle 
472,may be more genial than ingenious  but it gets the job done  
473, good action  good acting  good dialogue  good pace  good cinematography  
474,her bully of a husband 
475,gaghan  has thrown every suspenseful cliché in the book at this nonsensical story  
476,the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters 
477,oozing  chilling and heartwarming 
478,stale retread 
479,filming the teeming life on the reefs 
480,an already thin story boils down to surviving invaders seeking an existent antivirus  
481,quite endearing  
482,with fewer gags to break the tedium 
483,overbearing and 
484,deep deceptions 
485,things will turn out okay 
486,the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural 
487,grand 
488,goodnatured fun found in films like tremors 
489,betters it 
490,transfixes the audience 
491,moving and important 
492,dope 
493,an avid interest 
494,blessed with two fine  nuanced lead performances 
495,true star 
496,hampered  no  paralyzed  by a selfindulgent script  
497,is expressly for idiots who do nt care what kind of sewage they shovel into their mental gullets to simulate sustenance  
498,is haunting   it s  what punk rock music used to be  and what the video medium could use more of  spirit  perception  conviction 
499,which nurses plot holes gaping enough to pilot an entire olympic swim team through 
500,that s both charming and well acted 
501,a bad blend 
502,the guyinadress genre 
503,director claude chabrol has become the master of innuendo  
504,riveting and 
505,excruciatingly unfunny and pitifully unromantic  
506,war movies 
507,an inuit masterpiece 
508,oscar 
509,the clichéladen screenplay 
510,girlfriends are bad  wives are worse 
511,provide much more insight 
512, and as easy to be bored by as your abc s  
513,what you wish for 
514,fluid and mesmerizing 
515, a vivid  thoughtful  unapologetically raw comingofage tale full of sex  drugs and rock n roll  
516,it s a testament to the film s considerable charm that it succeeds in entertaining  despite playing out like a featurelength sitcom replete with stereotypical familial quandaries  
517,ransacks 
518,lacks the charisma and ability to carry the film on his admittedly broad shoulders  
519,book report 
520,leave the theater 
521,spousal abuse 
522,the director  with his fake backdrops and stately pacing  
523,a diverse and astonishingly articulate cast of palestinian and israeli children  
524,anyone who suffers through this film 
525,one carried by a strong sense of humanism 
526,for all its brilliant touches  dragon loses its fire midway  nearly flickering out by its perfunctory conclusion  
527,another entertaining romp from robert rodriguez  
528,directed with purpose and finesse by england s roger mitchell  who handily makes the move from pleasing  relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft  
529,it ll probably be in video stores by christmas 
530,funny  triumphant  
531,underachiever 
532,a film of ideas and wry comic mayhem 
533,of moviegoers for real characters and compelling plots 
534,dimestore ruminations 
535,worth a 
536, reality shows  reality shows for god s sake  
537,whatever the movie s sentimental  hypocritical lessons about sexism  its true colors come out in various wet tshirt and shower scenes  
538,ll cry for your money back 
539,enthralling 
540,is worse  the part where nothing s happening  or the part where something s happening 
541,like max rothman s future  does not work  
542,of quirky characters and an engaging story 
543,has the throwntogether feel of a summercamp talent show  hastily written  underrehearsed  arbitrarily plotted and 
544,making kahlo s art a living  
545,bad run 
546,may just end up trying to drown yourself in a lake afterwards  
547,many pleasures 
548,is worth searching out 
549,at this time  with this cast  this movie is hopeless 
550,time bombs 
551,balances both traditional or modern stories together in a manner that one never overwhelms the other  
552,the surface histrionics failing to compensate for the paperthin characterizations and facile situations 
553,plumbs uncharted depths of stupidity  incoherence and subsophomoric sexual banter  
554,a sour taste in one s mouth 
555,decent performance 
556, familiar and predictable  and 45ths of it might as well have come from a xerox machine rather than  writerdirector  franc  
557,a headlinefresh thriller set among orthodox jews on the west bank  joseph cedar s time of favor manages not only to find a compelling dramatic means of addressing a complex situation  it does so without compromising that complexity  
558,responsible for one of the worst movies of one year 
559,appalling  shamelessly manipulative and contrived 
560,movie love 
561,human darkness 
562,understand that the idea of exploiting molestation for laughs is funny  not actually exploiting it yourself 
563,it s too loud to shout insults at the screen 
564,s a long way from orwell s dark  intelligent warning cry  1984  
565,a comingofage film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type  
566,the perfect movie 
567,ardently waste viewers  time with a gobbler like this 
568,oscarsweeping franchise predecessor 
569,it sets out with no pretensions and delivers big time 
570,see how many times they can work the words  radical  or  suck  into a sentence 
571,give you enough to feel good about 
572,unexpectedly insightful 
573,allen s romantic comedies so pertinent and enduring 
574,is an extraordinary film  not least 
575,a doubt 
576,maudlin or 
577,with the the wisdom and humor of its subjects 
578,a partyhearty teen flick that scalds like acid  
579,the wan  thinly sketched story 
580,provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen 
581,this romanticcomedy asks the question how much souvlaki can you take before indigestion sets in  
582,again dazzle and delight us 
583,that beneath the familiar  funny surface is a far bigger  far more meaningful story than one in which little green men come to earth for harvesting purposes 
584,aspires to be more than another  best man  clone by weaving a theme throughout this funny film 
585,impresses as a skillfully assembled  highly polished and professional adaptation  just about as chilling and unsettling as  manhunter  was  
586,failure to construct a story with even a trace of dramatic interest 
587,but it also comes with the laziness and arrogance of a thing that already knows it s won  
588,it s a frightful vanity film that  no doubt  pays off what debt miramax felt they owed to benigni  
589,laughed at 
590, future lizard endeavors will need to adhere more closely to the laws of laughter 
591,a philosophical void 
592,unlikable characters and a selfconscious sense 
593,intelligence or invention 
594,hot on the hardwood proves once again that a man in drag is not in and of himself funny  
595,hopelessly juvenile 
596,shakespearean  both in depth and breadth  
597,unique directing style 
598,required to give this comic slugfest some heart 
599,feel more like a nonstop cry for attention 
600,hip hop beat 
601,feel more like literary conceits than fleshandblood humans 
602,no explanation 
603,funniest and 
604,a chilly  remote  emotionally distant piece  so dull that its tagline should be 
605,starts off witty and sophisticated and you 
606,a bargainbasement european pickup 
607, but what really sets the film apart is debrauwer s refusal to push the easy emotional buttons 
608,shines on all the characters  as the direction is intelligently accomplished 
609,taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults 
610,lead a group of talented friends astray 
611,it s just weirdness for the sake of weirdness  and where human nature should be ingratiating  it s just grating  
612,this gentle  mesmerizing portrait 
613,genial is the conceit  this is one of those rare pictures that you root for throughout  
614,draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss 
615,spliced together bits and pieces of midnight run and 48 hours  and  for that matter  shrek  
616,is so busy making reference to other films and trying to be other films that it fails to have a heart  mind or humor of its own 
617,it lacks the compassion  goodnatured humor and the level of insight that made  eyre s  first film something of a sleeper success  
618,handles it in the most unexpected way 
619,those eternally devoted to the insanity of black will have an intermittently good time  
620,obscenely bad 
621,devastatingly 
622,i do nt see the point 
623,comes off like a bad imitation of the bard 
624,that excites the imagination and tickles the funny bone 
625,one of its strengths 
626,of masterpiece 
627,into this dream hispanic role with a teethclenching gusto 
628,stiff or just plain bad 
629,makes these lives count 
630,jolts the laughs from the audience  
631,a delightful stimulus 
632,has no point 
633,of isolation and frustration 
634,winning shot 
635,of its music or comic antics  but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel 
636,feeling guilty for it  then  miracle of miracles  the movie does a flipflop  
637,lewis 
638,that there s no other reason why anyone should bother remembering it 
639,bogdanovich puts history in perspective and  via kirsten dunst s remarkable performance  he showcases davies as a young woman of great charm  generosity and diplomacy  
640,father cliché 
641,domestic tension and unhappiness 
642,the effort is sincere and the results are honest  but the film is so bleak that it s hardly watchable 
643,called the best korean film of 2002 
644,one of the best rock 
645,it forces you to watch people doing unpleasant things to each other and themselves 
646,of the holiday box office pie 
647,inexpressible and drab wannabe 
648,the hail of bullets  none of which ever seem to hit 
649,like an extended  openended poem than a traditionally structured story 
650,s about as convincing as any other arnie musclefest  but has a little too much resonance with real world events and 
651,to hate 
652,to be mesmerised 
653,the people who loved the 1989 paradiso will prefer this new version 
654,a lot of energy 
655,for its success on a patient viewer 
656,while tattoo borrows heavily from both seven and the silence of the lambs  it manages to maintain both a level of sophisticated intrigue and humanscale characters that suck the audience in  
657,this may be burns s strongest film since the brothers mcmullen  
658,turned down 
659,timely  tongueincheek 
660,undramatic 
661,the pile of useless actioners 
662,morton deserves an oscar nomination  
663,weirdly engaging and unpredictable character pieces 
664,efficiency and an affection for the period 
665,manages to accomplish what few sequels can  it equals the original and in some ways even betters it 
666,does not work  
667,it is nt merely offensive 
668,tell a story about the vietnam war before the pathology set in 
669,it irrigates our souls  
670,a hint of humor 
671,with a big heart 
672,a rollicking adventure for you and all your mateys  regardless of their ages 
673,its most immediate and most obvious pleasure 
674,there are laughs aplenty  and  as a bonus  viewers do nt have to worry about being subjected to farts  urine  feces  semen  or any of the other foul substances that have overrun modernday comedies 
675,one of those rare films that seems as though it was written for no one  but somehow manages to convince almost everyone that it was put on the screen  just for them  
676,made a decent  intro  documentary 
677,makes us see familiar issues  like racism and homophobia  in a fresh way  
678,the film goes right over the edge and kills every sense of believability 
679,a beyondlame satire  teddy bears  picnic ranks among the most pitiful directing debuts by an esteemed writeractor  
680,emotional seesawing 
681,movies with the courage to go over the top and movies that do nt care about being stupid 
682,target audience has nt graduated from junior high school 
683,this intricately structured and wellrealized drama 
684,embracing 
685,the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire 
686,a meditation on faith and madness  frailty is bloodcurdling stuff  
687,a pretty listless collection 
688,other than its oscarsweeping franchise predecessor 
689,almost everyone growing up believes their family must look like  the addams family  to everyone looking in 
690,have been called freddy gets molested by a dog 
691,moody male hustler 
692,uselessly redundant and shamelessly moneygrubbing than most thirdrate horror sequels 
693,the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders  but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill 
694,which is mostly a bore 
